minute,actual_requests,predicted_requests,response_time,vms_count
187,2571,2566.631735654355,126.29764612593601,3
188,1490,1486.805707572732,87.20452210735192,2
189,757,783.9919805297886,91.24158795075437,1
190,505,525.1090578024341,13.475326905160045,1
191,446,458.62171779279015,10.0,1
192,222,201.3692339112622,10.0,1
193,0,0.0,10.0,1
194,0,12.023826182459743,10.0,1
195,544,540.2182446852257,24.593567134881653,1
196,1264,1262.4153656415529,50.87682142497209,2
197,1777,1808.1598486512703,137.8818396809387,2
198,2282,2298.330179172295,92.48221794563187,3
199,3109,3132.7756102751446,195.95876836570773,3
200,4375,4396.404273400818,132.88449633967485,5
201,5821,5805.629333880863,169.18753755035942,6
202,7029,7021.217749580104,182.77259363643162,7
203,8145,8136.859530088484,188.4619867444057,8
204,9549,9545.52126008836,206.27510293568554,9
205,11314,11355.800117735515,192.74010344258733,11
206,13208,13223.850191296873,187.5935624827385,13
207,14849,14833.702170384098,177.0499648500193,15
208,16301,16305.177780366748,188.74323655612744,16
209,17984,17999.874700411106,180.73934595788472,18
210,20077,19991.022778494713,204.45665541870716,19
211,22038,22048.320865104935,201.41241300625273,21
212,23732,23742.182022697605,194.09372736299616,23
213,25181,25175.16848034691,201.3202602163156,24
214,26786,26779.844287359007,193.43507667264038,26
215,28652,28660.52114401444,190.57664335834914,28
216,30487,30476.614692500574,187.6888529377407,30
217,31861,31892.857687046293,192.4223440705985,31
218,32978,32980.14796371508,193.5719733990282,32
219,34176,34196.20824845935,195.6699693035917,33
220,35604,35577.57050727088,200.4707807833958,34
221,36939,36886.11936626255,191.72633676909692,36
222,37684,37740.15468737162,200.3042437025312,36
223,38219,38206.034307094866,194.55653700596253,37
224,38711,38730.92447905531,200.08104064590867,37
225,39450,39445.86229823728,196.7154980272241,38
226,40039,40023.880946362624,191.95580406480195,39
227,40089,40084.79426070376,192.48367003375853,39
228,39773,39790.467470329146,200.254177119267,38
229,39530,39526.0245405017,197.58990305211768,38
230,39478,39441.06917944426,197.0213866866473,38
231,39212,39213.247214621195,194.12208773710057,38
232,38513,38498.62396134829,197.85130406036086,37
233,37439,37418.407146353326,197.4689849666235,36
234,36417,36408.83306751498,197.68241884787432,35
235,35660,35601.115795922626,201.15928483273825,34
236,34690,34678.60353928423,189.34983334219174,34
237,33253,33274.909902084655,197.12998948075102,32
238,31604,31557.97697755129,189.0180246133512,31
239,30003,30014.126312901302,195.23510014613288,29
240,28695,28663.974088553332,191.2074604831576,28
241,27253,27275.680857153122,184.89288565000294,27
242,25474,25461.551388670385,188.80359584764886,25
243,23447,23405.70459306118,188.9979284750181,23
244,21589,21582.68143252209,192.5349748170418,21
245,19996,20037.27649365728,202.66600922172194,19
246,18462,18467.535240977355,191.55495674745686,18
247,16593,16585.13247479004,196.26106626482186,16
248,14549,14557.367884797059,197.15409372528035,14
249,12803,12781.694992463645,175.01560621984748,13
250,11365,11358.948018090214,194.65406541310023,11
